Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	0
Conversion Gain:	2048
Coarse Gain:	0
Fine Gain:	0
Upper Discriminator:	523
Lower Discriminator:	0
Calibration Coefficients:Elapsed Real Time:	42.21
Elapsed Live Time:	41.47
Start Time:	Thursday, June 18, 2015, 15:42:07
End Time:	Thursday, June 18, 2015, 15:42:49
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		6
8		10
9		10
10		10
11		13
12		9
13		18
14		9
15		5
16		8
17		7
18		5
19		26
20		76
21		114
22		116
23		122
24		133
25		162
26		156
27		163
28		173
29		149
30		204
31		223
32		230
33		268
34		280
35		382
36		438
37		582
38		716
39		870
40		900
41		949
42		866
43		870
44		703
45		610
46		459
47		368
48		329
49		282
50		208
51		210
52		169
53		145
54		112
55		116
56		114
57		114
58		88
59		111
60		105
61		95
62		106
63		109
64		94
65		89
66		105
67		115
68		97
69		103
70		102
71		114
72		101
73		100
74		102
75		90
76		111
77		97
78		97
79		98
80		101
81		103
82		106
83		92
84		108
85		96
86		100
87		100
88		94
89		109
90		93
91		107
92		88
93		118
94		111
95		96
96		102
97		118
98		94
99		103
100		111
101		99
102		109
103		106
104		98
105		107
106		116
107		104
108		112
109		86
110		108
111		98
112		93
113		123
114		103
115		122
116		97
117		118
118		107
119		92
120		108
121		101
122		88
123		118
124		108
125		110
126		106
127		84
128		104
129		111
130		102
131		99
132		122
133		97
134		80
135		95
136		107
137		115
138		102
139		95
140		103
141		101
142		82
143		90
144		89
145		118
146		104
147		92
148		104
149		104
150		90
151		99
152		123
153		96
154		94
155		88
156		100
157		110
158		101
159		92
160		98
161		73
162		100
163		96
164		108
165		109
166		113
167		84
168		78
169		102
170		86
171		113
172		108
173		95
174		82
175		96
176		116
177		97
178		100
179		99
180		93
181		103
182		117
183		117
184		91
185		105
186		110
187		94
188		90
189		118
190		89
191		105
192		92
193		113
194		92
195		105
196		85
197		105
198		120
199		107
200		101
201		95
202		105
203		109
204		95
205		81
206		99
207		113
208		103
209		96
210		88
211		84
212		77
213		125
214		100
215		97
216		110
217		108
218		101
219		95
220		97
221		103
222		91
223		105
224		118
225		100
226		86
227		83
228		112
229		111
230		91
231		105
232		104
233		111
234		128
235		109
236		103
237		100
238		103
239		89
240		109
241		128
242		91
243		118
244		96
245		121
246		135
247		108
248		123
249		125
250		111
251		113
252		108
253		125
254		120
255		112
256		124
257		133
258		113
259		136
260		119
261		134
262		119
263		154
264		126
265		127
266		135
267		123
268		113
269		119
270		119
271		131
272		125
273		136
274		133
275		140
276		107
277		132
278		113
279		116
280		127
281		125
282		118
283		116
284		117
285		121
286		106
287		138
288		117
289		122
290		114
291		147
292		127
293		120
294		105
295		118
296		138
297		127
298		113
299		144
300		110
301		115
302		105
303		102
304		102
305		109
306		114
307		122
308		117
309		103
310		126
311		128
312		114
313		104
314		110
315		101
316		102
317		117
318		117
319		114
320		118
321		99
322		120
323		110
324		114
325		126
326		127
327		110
328		119
329		125
330		117
331		106
332		119
333		131
334		117
335		107
336		107
337		115
338		98
339		110
340		100
341		124
342		103
343		102
344		108
345		114
346		105
347		104
348		97
349		112
350		100
351		113
352		82
353		97
354		105
355		95
356		106
357		85
358		95
359		115
360		105
361		110
362		109
363		98
364		88
365		114
366		104
367		96
368		106
369		99
370		101
371		98
372		86
373		106
374		109
375		114
376		109
377		116
378		93
379		107
380		106
381		90
382		107
383		113
384		94
385		113
386		99
387		98
388		98
389		113
390		95
391		104
392		111
393		104
394		108
395		91
396		102
397		94
398		94
399		102
400		86
401		98
402		90
403		102
404		114
405		97
406		94
407		111
408		110
409		95
410		86
411		121
412		95
413		106
414		89
415		91
416		98
417		92
418		91
419		91
420		90
421		114
422		110
423		98
424		106
425		98
426		84
427		78
428		95
429		107
430		85
431		103
432		93
433		114
434		95
435		94
436		105
437		99
438		104
439		104
440		91
441		107
442		81
443		101
444		85
445		90
446		104
447		97
448		104
449		100
450		88
451		105
452		89
453		85
454		80
455		95
456		116
457		98
458		102
459		107
460		103
461		95
462		100
463		99
464		90
465		105
466		84
467		84
468		96
